,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,index
0,01/25/2021,NE,187923,,,646,0.0,1894,,,15,0.0,01/27/2021 12:00:00 AM,Not agree,Not agree,
1,02/02/2021,IL,1130917,1130917.0,0.0,2304,0.0,21336,19306.0,2030.0,63,16.0,02/03/2021 02:55:58 PM,Agree,Agree,
2,07/30/2020,ME,3910,3497.0,413.0,22,2.0,123,122.0,1.0,2,0.0,07/31/2020 02:35:06 PM,Agree,Agree,
3,05/03/2020,NH,2518,,,89,0.0,86,,,2,0.0,05/04/2020 10:49:24 PM,Not agree,Not agree,
4,12/04/2020,IN,367338,,,7899,0.0,7031,6746.0,285.0,91,1.0,12/04/2020 12:00:00 AM,Not agree,Agree,
5,05/04/2020,IN,20507,,,574,0.0,1411,1278.0,133.0,37,0.0,05/04/2020 12:00:00 AM,Not agree,Agree,
6,03/24/2021,MI,755839,681912.0,73927.0,6105,808.0,17091,16068.0,1023.0,36,5.0,03/25/2021 12:00:00 AM,Agree,Agree,
7,01/27/2020,MI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
8,02/14/2021,CT,267337,250915.0,16422.0,0,0.0,7381,6049.0,1332.0,0,0.0,02/15/2021 02:46:24 PM,Agree,Agree,
9,09/16/2020,WI,98440,92712.0,5728.0,1502,94.0,1237,1228.0,9.0,8,0.0,09/17/2020 01:45:45 PM,Agree,Agree,
10,08/04/2020,NC,133673,132345.0,1328.0,1999,97.0,2218,2215.0,3.0,24,0.0,08/04/2020 12:00:00 AM,Agree,Agree,
11,06/09/2021,ND,110351,101268.0,9083.0,53,16.0,1517,,,0,0.0,06/10/2021 02:48:23 PM,Agree,Not agree,
12,05/11/2020,CT,33765,31955.0,1810.0,211,-30.0,3008,2294.0,714.0,41,-10.0,05/12/2020 05:26:08 PM,Agree,Agree,
13,09/13/2020,MO,108944,,,663,18.0,2132,,,19,0.0,09/15/2020 12:00:00 AM,Not agree,Not agree,
14,04/08/2020,WI,2756,,,178,,99,,,7,,04/07/2020 04:22:39 PM,Agree,Agree,
15,06/23/2020,MD,65337,,,330,0.0,3218,3088.0,130.0,15,0.0,06/25/2020 12:00:00 AM,,Agree,
16,07/06/2020,DE,12583,11656.0,927.0,119,0.0,514,457.0,57.0,2,0.0,07/08/2020 12:00:00 AM,Agree,Agree,
17,07/25/2021,MS,333180,203219.0,129961.0,0,0.0,7502,5175.0,2327.0,0,0.0,07/26/2021 01:52:25 PM,Agree,Agree,
18,03/09/2021,MS,299992,185580.0,114412.0,457,301.0,7080,4916.0,2164.0,8,5.0,03/11/2021 12:00:00 AM,Agree,Agree,
19,03/16/2020,ME,19,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
20,08/17/2020,ID,27942,26091.0,1851.0,282,32.0,273,245.0,28.0,4,0.0,08/18/2020 02:26:55 PM,Agree,Agree,
21,03/25/2021,NC,907529,783343.0,124186.0,2057,516.0,12584,11123.0,1461.0,10,2.0,03/25/2021 12:00:00 AM,Agree,Agree,
22,05/13/2021,MO,592512,,,463,113.0,8993,,,2,0.0,05/15/2021 12:00:00 AM,Not agree,Not agree,
23,02/19/2020,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree,
24,05/18/2020,MI,84441,78559.0,5882.0,2531,188.0,5520,5226.0,294.0,33,0.0,05/19/2020 12:00:00 AM,Agree,Agree,
25,08/23/2020,IL,221595,220178.0,1417.0,1893,0.0,8089,7880.0,209.0,6,0.0,08/24/2020 01:54:34 PM,Agree,Agree,
26,09/18/2020,IN,109683,,,1037,0.0,3694,3470.0,224.0,15,0.0,09/18/2020 12:00:00 AM,Not agree,Agree,
27,03/21/2021,VI,2858,,,6,0.0,25,,,0,0.0,03/22/2021 01:57:09 PM,,,
28,07/24/2020,AL,93391,86309.0,7082.0,1558,204.0,2014,1840.0,174.0,41,2.0,07/26/2020 12:00:00 AM,Agree,Agree,
29,12/05/2020,NV,165628,,,3194,0.0,2301,,,29,0.0,12/06/2020 02:51:16 PM,,,
30,04/01/2020,MD,1985,,,325,,53,51.0,2.0,9,1.0,04/03/2020 12:00:00 AM,,Agree,
31,02/24/2020,MO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree,
32,08/29/2020,VT,1464,,,12,0.0,57,,,0,0.0,08/31/2020 12:00:00 AM,Not agree,Not agree,
33,01/24/2021,CA,3343884,3224337.0,119547.0,20962,1148.0,47638,,,545,0.0,01/25/2021 12:00:00 AM,Agree,Not agree,
34,02/11/2021,MO,540239,,,1007,270.0,8330,,,19,0.0,02/13/2021 12:00:00 AM,Not agree,Not agree,
35,06/25/2021,NE,224270,,,44,0.0,2259,,,0,0.0,06/26/2021 02:17:39 PM,Not agree,Not agree,
36,01/01/2021,CA,2561950,2480090.0,81860.0,56643,2552.0,32704,,,619,0.0,01/02/2021 12:00:00 AM,Agree,Not agree,
37,10/20/2020,MD,137236,,,492,0.0,4198,4041.0,157.0,12,0.0,10/22/2020 12:00:00 AM,,Agree,
38,01/19/2021,NC,717877,635424.0,82453.0,37438,17114.0,9768,8803.0,965.0,1657,326.0,01/19/2021 12:00:00 AM,Agree,Agree,
39,04/23/2020,DE,3579,3529.0,50.0,143,1.0,100,90.0,10.0,8,0.0,06/03/2021 01:36:29 PM,Agree,Agree,
40,01/11/2021,MI,617800,566518.0,51282.0,2718,371.0,14716,13871.0,845.0,74,10.0,01/12/2021 12:00:00 AM,Agree,Agree,
41,01/21/2021,WA,296251,,,2197,157.0,4065,,,125,0.0,01/23/2021 12:00:00 AM,,,
42,07/25/2021,NH,100152,,,0,0.0,1385,,,0,0.0,07/26/2021 01:52:25 PM,Not agree,Not agree,
43,11/03/2020,ND,48301,48301.0,0.0,1114,0.0,568,,,12,0.0,11/04/2020 03:03:00 PM,Agree,Not agree,
44,07/21/2021,AL,565507,433891.0,131616.0,1567,485.0,11466,9148.0,2318.0,6,-1.0,07/22/2021 03:06:50 PM,Agree,Agree,
